屏東縣,0_ ,"12,612_ ","4,191_ ",0_ ,0_ ,0_ ,"12,612_ ",263_ ,,,,
臺東縣,0_ ,"1,600_ ","1,013_ ",539_ ,0_ ,336_ ,"1,600_ ",36_ ,,,,
花蓮縣,0_ ,"4,250_ ","2,415_ ",0_ ,0_ ,0_ ,"4,250_ ",78_ ,,,,
澎湖縣,0_ ,4_ ,656_ ,0_ ,0_ ,0_ ,4_ ,10_ ,,,,
基隆市,0_ ,"4,136_ ",0_ ,0_ ,0_ ,0_ ,"4,136_ ",43_ ,,,,
新竹市,0_ ,"5,419_ ","2,957_ ",759_ ,0_ ,0_ ,"5,419_ ",84_ ,,,,
臺中市,0_ ,"6,105_ ","3,091_ ","6,278_ ",0_ ,0_ ,"6,105_ ",123_ ,,,,
嘉義市,0_ ,"1,460_ ","1,500_ ",450_ ,0_ ,0_ ,"1,460_ ",41_ ,,,,
臺南市,0_ ,"11,424_ ","7,539_ ","3,655_ ",0_ ,0_ ,"11,424_ ",277_ ,,,,
金門縣,0_ ,0_ ,0_ ,450_ ,0_ ,0_ ,0_ ,6_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1-2.  鄉(鎮、市)公所債務負擔表－債務餘額,,,,,,,,,,,,
截至93年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,172_ ,"9,407_ ",285_ ,"1,238_ ",63_ ,44_ ,"9,470_ ",313_ ,,,,
臺北縣,0_ ,"1,894_ ",0_ ,0_ ,0_ ,38_ ,"1,894_ ",12_ ,,,,
桃園縣,0_ ,792_ ,143_ ,0_ ,0_ ,0_ ,792_ ,14_ ,,,,
宜蘭縣,0_ ,94_ ,0_ ,0_ ,0_ ,0_ ,94_ ,1_ ,,,,
新竹縣,0_ ,14_ ,0_ ,14_ ,0_ ,0_ ,14_ ,1_ ,,,,
苗栗縣,0_ ,3_ ,11_ ,106_ ,0_ ,0_ ,3_ ,2_ ,,,,
臺中縣,0_ ,"1,223_ ",0_ ,0_ ,0_ ,0_ ,"1,223_ ",65_ ,,,,
彰化縣,0_ ,242_ ,80_ ,178_ ,60_ ,6_ ,302_ ,11_ ,,,,
南投縣,0_ ,383_ ,0_ ,58_ ,0_ ,0_ ,383_ ,3_ ,,,,
雲林縣,0_ ,178_ ,0_ ,97_ ,0_ ,0_ ,178_ ,8_ ,,,,
嘉義縣,40_ ,899_ ,0_ ,60_ ,0_ ,0_ ,899_ ,8_ ,,,,
臺南縣,0_ ,"2,084_ ",0_ ,431_ ,0_ ,0_ ,"2,084_ ",108_ ,,,,
高雄縣,0_ ,"1,078_ ",0_ ,119_ ,3_ ,0_ ,"1,081_ ",67_ ,,,,
屏東縣,120_ ,518_ ,4_ ,175_ ,0_ ,0_ ,518_ ,12_ ,,,,
臺東縣,12_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
花蓮縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
澎湖縣,0_ ,5_ ,47_ ,0_ ,0_ ,0_ ,5_ ,1_ ,,,,
金門縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1.  各級政府債務負擔表－債務餘額,,,,,,,,,,,,
截至93年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
　政 府 別,自償,非自償,,自償,非自償,,,,,,,
　合　　計,"22,119_ ","3,869,570_ ","356,058_ ","596,777_ ","8,880_ ","139,003_ ","3,878,450_ ","157,624_ ",,,,
　中央政府,"15,000_ ","3,362,141_ ","240,100_ ","490,881_ ",0_ ,"113,555_ ","3,362,141_ ","143,221_ ",,,,
　地方政府,"7,119_ ","507,429_ ","115,958_ ","105,896_ ","8,880_ ","25,448_ ","516,309_ ","14,403_ ",,,,
　　臺北市,"1,600_ ","197,624_ ",0_ ,"31,872_ ",0_ ,"24,700_ ","197,624_ ","6,466_ ",,,,
　　高雄市,0_ ,"99,010_ ",0_ ,"25,550_ ","8,817_ ",0_ ,"107,827_ ","2,528_ ",,,,
　　縣　市 (表1-1),"5,347_ ","201,388_ ","115,673_ ","47,236_ ",0_ ,704_ ,"201,388_ ","5,096_ ",,,,
　　鄉鎮市 (表1-2),172_ ,"9,407_ ",285_ ,"1,238_ ",63_ ,44_ ,"9,470_ ",313_ ,,,,
說明：,,,,,,,,,,,,
　　1.中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
　　2.本表為各級政府為應公共事務支出所舉借之債務，包括公債、國庫券、國內外借款。普通基金包括總預算及特別預算。,,,,,,,,,,,,
"　　3.1年以上自償性債務總計618,896百萬元，係有特定財源用以償債，依公共債務法規定不計入債限。",,,,,,,,,,,,
"　　4.未滿1年之債務總計495,061百萬元，係為調節庫款收支所舉借之債務，其中普通基金356,058百萬元，受公共債務法債限管制。",,,,,,,,,,,,
　　5.因擔保、保證或契約可能造成未來會計年度支出：,,,,,,,,,,,,
"　　　(1)中央政府：普通基金（交通部）325,880百萬元；非營業基金4,029百萬元。",,,,,,,,,,,,
"　　　(2)直轄市及縣(市)政府：共計44,406百萬元，分別為高雄市30,494百萬元、臺北縣12,716百萬元、宜蘭縣705百萬元、彰化縣6百萬元、雲林縣476百萬元及",,,,,,,,,,,,
                 高雄縣9百萬元。,,,,,,,,,,,,
表2-1.  縣(市)政府債務負擔表－債務比率,,,,,,,,,,,,
截至93年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,27.80%,45.00%,20.06%,30.00%,,,,,,,,
臺北縣,39.74%,45.00%,25.10%,30.00%,,,,,,,,
桃園縣,31.50%,45.00%,19.19%,30.00%,,,,,,,,
宜蘭縣,36.83%,45.00%,29.43%,30.00%,,,,,,,,
新竹縣,38.44%,45.00%,28.31%,30.00%,,,,,,,,
苗栗縣,28.99%,45.00%,29.44%,30.00%,,,,,,,,
臺中縣,18.51%,45.00%,19.85%,30.00%,,,,,,,,
彰化縣,27.39%,45.00%,2.38%,30.00%,,,,,,,,
南投縣,25.42%,45.00%,3.04%,30.00%,,,,,,,,
雲林縣,30.64%,45.00%,30.44%,30.00%,,,,,,,,
嘉義縣,33.94%,45.00%,28.64%,30.00%,,,,,,,,
臺南縣,33.01%,45.00%,40.04%,30.00%,,,,,,,,
高雄縣,19.64%,45.00%,24.53%,30.00%,,,,,,,,
屏東縣,33.31%,45.00%,15.26%,30.00%,,,,,,,,
臺東縣,10.51%,45.00%,8.32%,30.00%,,,,,,,,
花蓮縣,23.15%,45.00%,15.64%,30.00%,,,,,,,,
澎湖縣,0.04%,45.00%,7.91%,30.00%,,,,,,,,
基隆市,20.53%,45.00%,0.00%,30.00%,,,,,,,,
新竹市,25.23%,45.00%,16.95%,30.00%,,,,,,,,
臺中市,16.09%,45.00%,9.22%,30.00%,,,,,,,,
嘉義市,9.30%,45.00%,14.17%,30.00%,,,,,,,,
臺南市,42.50%,45.00%,34.86%,30.00%,,,,,,,,
金門縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2-2.  鄉(鎮、市)公所債務負擔表－債務比率,,,,,,,,,,,,
截至93年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,4.48%,25.00%,0.19%,30.00%,,,,,,,,
臺北縣,4.19%,25.00%,0.00%,30.00%,,,,,,,,
桃園縣,3.57%,25.00%,0.85%,30.00%,,,,,,,,
宜蘭縣,1.98%,25.00%,0.00%,30.00%,,,,,,,,
新竹縣,0.25%,25.00%,0.00%,30.00%,,,,,,,,
苗栗縣,0.03%,25.00%,0.19%,30.00%,,,,,,,,
臺中縣,4.70%,25.00%,0.00%,30.00%,,,,,,,,
彰化縣,2.42%,25.00%,0.79%,30.00%,,,,,,,,
南投縣,4.18%,25.00%,0.00%,30.00%,,,,,,,,
雲林縣,1.62%,25.00%,0.00%,30.00%,,,,,,,,
嘉義縣,12.70%,25.00%,0.00%,30.00%,,,,,,,,
臺南縣,19.65%,25.00%,0.00%,30.00%,,,,,,,,
高雄縣,4.20%,25.00%,0.00%,30.00%,,,,,,,,
屏東縣,4.77%,25.00%,0.55%,30.00%,,,,,,,,
臺東縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
花蓮縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
澎湖縣,0.26%,25.00%,2.43%,30.00%,,,,,,,,
金門縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2.  各級政府債務負擔表－債務比率,,,,,,,,,,,,
截至93年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,單位：％　　,,,,,,
,   1年以上非自償債務餘額,,,,未滿1年債務餘額,,,,,,,
  政 府 別,占歲出比率,法定比率,占前3年度名目國民,,,,,,,,,
"生產毛額平均數比率""""",法定比率,占歲出比率,法定比率,,,,,,,,,
　合　　計,－,－,35.73%,48.00%,－,－,,,,,,
　中央政府,－,－,30.97%,40.00%,14.14%,15.00%,,,,,,
　地方政府,－,－,4.76%,8.00%,－,－,,,,,,
　　臺北市,－,－,1.82%,3.60%,0.00%,30.00%,,,,,,
　　高雄市,－,－,0.99%,1.80%,0.00%,30.00%,,,,,,
　　縣　市 (表2-1),27.80%,45.00%,1.86%,2.00%,20.06%,30.00%,,,,,,
　　鄉鎮市 (表2-2),4.48%,25.00%,0.09%,0.60%,0.19%,30.00%,,,,,,
說明：1.依據公共債務法規定：,,,,,,,,,,,,
　　　　(1)1年以上非自償債務，係指中央及地方政府在普通基金及非營業基金預算內，所舉借1年以上非自償債務。,,,,,,,,,,,,
　　　　(2)未滿1年債務，係指中央及地方政府為普通基金調度所舉借未滿1年債務。,,,,,,,,,,,,
　　　2.行政院主計總處配合聯合國國民經濟會計制度之修訂，將原國民生產毛額(GNP)改稱為國民所得毛額(GNI)。,,,,,,,,,,,,
"        該總處105年10月28日公布之前3年度(90年度至92年度)名目國民所得毛額(GNI)平均數為10,856,119百萬元。",,,,,,,,,,,,
各級政府公共債務概況總表,,,,,,,,,,,,
94年度,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元；％,,,,,
　　　  　   　項目,,,,,,,,,,,,
" 政府別""""",公共債務法規範之債務,,,,,其他債務,,,,,,
,一年以上債務,,未滿一年債務,,債務合計,自償性債務,非營業基金,,,,,
"未滿一年債務""""",,,,,,,,,,,,
,金額,比率,金額,比率,,,,,,,,
,-1,-2,-3,-4,(5)=(1)+(3),-6,-7,,,,,
合 　   計,"4,100,632_ ",35.93%,"279,594_ ",－,"4,380,226_ ","639,820_ ","118,904_ ",,,,,
中央政府,"3,549,617_ ",31.10%,"157,000_ ",8.93%,"3,706,617_ ","541,751_ ","118,544_ ",,,,,
地方政府,"551,015_ ",4.83%,"122,594_ ",－,"673,609_ ","98,069_ ",360_ ,,,,,
直轄市,"310,995_ ",－,0_ ,－,"310,995_ ","41,976_ ",0_ ,,,,,
臺北市,"189,948_ ",1.66%,0_ ,0.00%,"189,948_ ","22,466_ ",0_ ,,,,,
高雄市,"121,047_ ",1.06%,0_ ,0.00%,"121,047_ ","19,510_ ",0_ ,,,,,
縣市,"231,608_ ",2.03%,"122,128_ ",21.08%,"353,736_ ","53,827_ ",356_ ,,,,,
臺北縣,"39,236_ ",40.18%,"17,820_ ",22.66%,"57,056_ ","4,322_ ",0_ ,,,,,
桃園縣,"17,650_ ",31.86%,"14,878_ ",31.07%,"32,528_ ","4,424_ ",0_ ,,,,,
宜蘭縣,"8,986_ ",40.04%,"7,098_ ",35.72%,"16,084_ ","4,239_ ",0_ ,,,,,
新竹縣,"10,636_ ",42.62%,"6,723_ ",31.42%,"17,359_ ","5,304_ ",0_ ,,,,,
苗栗縣,"10,700_ ",35.59%,"5,527_ ",26.45%,"16,227_ ",0_ ,0_ ,,,,,
臺中縣,"15,843_ ",24.08%,"10,101_ ",23.75%,"25,944_ ","8,626_ ",20_ ,,,,,
彰化縣,"10,193_ ",26.67%,"2,350_ ",7.09%,"12,543_ ","1,809_ ",0_ ,,,,,
南投縣,"11,047_ ",35.53%,"1,090_ ",5.59%,"12,137_ ",444_ ,0_ ,,,,,
雲林縣,"13,722_ ",39.77%,"6,183_ ",25.99%,"19,905_ ","3,671_ ",0_ ,,,,,
嘉義縣,"11,409_ ",39.86%,"5,320_ ",25.72%,"16,729_ ","2,840_ ",0_ ,,,,,
臺南縣,"17,934_ ",41.50%,"9,306_ ",27.43%,"27,240_ ","8,366_ ",0_ ,,,,,
高雄縣,"8,426_ ",20.06%,"8,500_ ",24.15%,"16,926_ ",0_ ,0_ ,,,,,
屏東縣,"13,508_ ",39.22%,"4,410_ ",16.58%,"17,918_ ",0_ ,0_ ,,,,,
臺東縣,"2,650_ ",19.13%,"1,498_ ",13.09%,"4,148_ ",370_ ,336_ ,,,,,
花蓮縣,"5,250_ ",27.95%,"3,509_ ",22.77%,"8,759_ ",0_ ,0_ ,,,,,
澎湖縣,0_ ,0.00%,"1,123_ ",14.06%,"1,123_ ",0_ ,0_ ,,,,,
基隆市,"5,663_ ",27.65%,"1,400_ ",7.93%,"7,063_ ",0_ ,0_ ,,,,,
新竹市,"7,640_ ",35.35%,"2,897_ ",17.33%,"10,537_ ","1,061_ ",0_ ,,,,,
臺中市,"6,562_ ",15.49%,"4,173_ ",10.82%,"10,735_ ","4,138_ ",0_ ,,,,,
嘉義市,"1,489_ ",10.33%,"2,051_ ",20.23%,"3,540_ ",17_ ,0_ ,,,,,
臺南市,"13,064_ ",44.37%,"6,171_ ",26.11%,"19,235_ ","3,796_ ",0_ ,,,,,
金門縣,0_ ,0.00%,0_ ,0.00%,0_ ,400_ ,0_ ,,,,,
連江縣,0_ ,0.00%,0_ ,0.00%,0_ ,0_ ,0_ ,,,,,
鄉鎮市,"8,412_ ",0.07%,466_ ,0.33%,"8,878_ ","2,266_ ",4_ ,,,,,
註1：中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
註2：依據103年1月1日新公共債務法施行前之該法第4條規定，各級政府債限如下：,,,,,,,,,,,,
 (1) 一年以上非自償債務：中央及各地方政府所舉借之一年以上非自償債務未償餘額不得超過前三年度名目GNP(國民生產毛額)平均數之48%【中央40%，地方8%－其中臺北市3.6%、高雄市1.8%,,,,,,,,,,,,
　　　　、縣(市)2%、鄉(鎮、市)0.6%】。個別縣(市)及鄉(鎮、市)舉借一年以上非自償債務未償餘額占各該政府總預算及特別預算歲出總額之比率，各不得超過45%及25%。,,,,,,,,,,,,
 (2) 未滿一年債務：中央及各地方政府未滿一年債務未償餘額占總預算及特別預算歲出總額之比率，分別不得超過15%及30%。,,,,,,,,,,,,
註3：「*」表示債務超限。,,,,,,,,,,,,
表1-1.  縣(市)政府債務負擔表－債務餘額,,,,,,,,,,,,
截至94年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,"5,567_ ","231,608_ ","122,128_ ","48,260_ ",0_ ,356_ ,"231,608_ ","5,671_ ",,,,
臺北縣,"1,126_ ","39,236_ ","17,820_ ","3,196_ ",0_ ,0_ ,"39,236_ ","1,440_ ",,,,
桃園縣,0_ ,"17,650_ ","14,878_ ","4,424_ ",0_ ,0_ ,"17,650_ ",461_ ,,,,
宜蘭縣,995_ ,"8,986_ ","7,098_ ","3,244_ ",0_ ,0_ ,"8,986_ ",223_ ,,,,
新竹縣,0_ ,"10,636_ ","6,723_ ","5,304_ ",0_ ,0_ ,"10,636_ ",327_ ,,,,
苗栗縣,0_ ,"10,700_ ","5,527_ ",0_ ,0_ ,0_ ,"10,700_ ",216_ ,,,,
臺中縣,0_ ,"15,843_ ","10,101_ ","8,626_ ",0_ ,20_ ,"15,843_ ",473_ ,,,,
彰化縣,0_ ,"10,193_ ","2,350_ ","1,809_ ",0_ ,0_ ,"10,193_ ",234_ ,,,,
南投縣,0_ ,"11,047_ ","1,090_ ",444_ ,0_ ,0_ ,"11,047_ ",155_ ,,,,
雲林縣,0_ ,"13,722_ ","6,183_ ","3,671_ ",0_ ,0_ ,"13,722_ ",409_ ,,,,
嘉義縣,"2,840_ ","11,409_ ","5,320_ ",0_ ,0_ ,0_ ,"11,409_ ",195_ ,,,,
臺南縣,606_ ,"17,934_ ","9,306_ ","7,760_ ",0_ ,0_ ,"17,934_ ",392_ ,,,,
高雄縣,0_ ,"8,426_ ","8,500_ ",0_ ,0_ ,0_ ,"8,426_ ",151_ ,,,,
屏東縣,0_ ,"13,508_ ","4,410_ ",0_ ,0_ ,0_ ,"13,508_ ",233_ ,,,,
臺東縣,0_ ,"2,650_ ","1,498_ ",370_ ,0_ ,336_ ,"2,650_ ",53_ ,,,,
花蓮縣,0_ ,"5,250_ ","3,509_ ",0_ ,0_ ,0_ ,"5,250_ ",102_ ,,,,
澎湖縣,0_ ,0_ ,"1,123_ ",0_ ,0_ ,0_ ,0_ ,13_ ,,,,
基隆市,0_ ,"5,663_ ","1,400_ ",0_ ,0_ ,0_ ,"5,663_ ",53_ ,,,,
新竹市,0_ ,"7,640_ ","2,897_ ","1,061_ ",0_ ,0_ ,"7,640_ ",113_ ,,,,
臺中市,0_ ,"6,562_ ","4,173_ ","4,138_ ",0_ ,0_ ,"6,562_ ",94_ ,,,,
嘉義市,0_ ,"1,489_ ","2,051_ ",17_ ,0_ ,0_ ,"1,489_ ",36_ ,,,,
臺南市,0_ ,"13,064_ ","6,171_ ","3,796_ ",0_ ,0_ ,"13,064_ ",291_ ,,,,
金門縣,0_ ,0_ ,0_ ,400_ ,0_ ,0_ ,0_ ,7_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1-2.  鄉(鎮、市)公所債務負擔表－債務餘額,,,,,,,,,,,,
截至94年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,382_ ,"8,357_ ",466_ ,"1,884_ ",55_ ,4_ ,"8,412_ ",285_ ,,,,
臺北縣,0_ ,"1,642_ ",0_ ,0_ ,0_ ,0_ ,"1,642_ ",9_ ,,,,
桃園縣,36_ ,379_ ,326_ ,0_ ,0_ ,0_ ,379_ ,9_ ,,,,
宜蘭縣,0_ ,105_ ,0_ ,0_ ,0_ ,0_ ,105_ ,1_ ,,,,
新竹縣,0_ ,7_ ,0_ ,13_ ,0_ ,0_ ,7_ ,0_ ,,,,
苗栗縣,0_ ,1_ ,0_ ,143_ ,0_ ,0_ ,1_ ,3_ ,,,,
臺中縣,0_ ,925_ ,0_ ,0_ ,0_ ,0_ ,925_ ,105_ ,,,,
彰化縣,0_ ,340_ ,43_ ,167_ ,55_ ,0_ ,395_ ,9_ ,,,,
南投縣,48_ ,474_ ,0_ ,134_ ,0_ ,0_ ,474_ ,10_ ,,,,
雲林縣,0_ ,140_ ,0_ ,263_ ,0_ ,4_ ,140_ ,6_ ,,,,
嘉義縣,167_ ,882_ ,7_ ,139_ ,0_ ,0_ ,882_ ,10_ ,,,,
臺南縣,0_ ,"2,320_ ",0_ ,491_ ,0_ ,0_ ,"2,320_ ",82_ ,,,,
